R_m,R_km,t_m,mu_wall,qppp_max,ok_thermal,ok_shielding,ok_both
100.0,0.1,0.04053,318.16049999999996,11.424122318744661,1,0,0
101.92324875332801,0.101923248753328,0.041309492719723846,324.2795178498322,11.20767827820778,1,0,0
103.88348636432791,0.10388348636432791,0.0421039770234621,330.5162196341775,10.995318635225296,1,0,0
105.88142422074351,0.10588142422074351,0.042913741236667344,336.8728687078386,10.786966322422028,1,0,0
107.91778739207501,0.10791778739207501,0.043739079230008006,343.35177195556287,10.58254572701454,1,0,0
109.99331489271226,0.10999331489271226,0.04458029052601628,349.9552806292278,10.381982662677764,1,0,0
112.10875995013063,0.11210875995013063,0.04543768040778795,356.68579120113543,10.18520434331894,1,0,0
114.264890278243,0.114264890278243,0.04631156002977189,363.54574623370934,9.99213935613632,1,0,0
116.46248835601105,0.11646248835601106,0.04720224653069128,370.53763526592655,9.802717636108397,1,0,0
118.70235171141282,0.11870235171141282,0.04811006314863561,377.66399571678954,9.616870440244675,1,0,0
120.9852932108737,0.1209852932108737,0.04903533933836711,384.9274138061818,9.434530322790149,1,0,0
123.31214135426208,0.12331214135426208,0.049978410890882424,392.33052549342705,9.255631110906606,1,0,0
125.68374057556012,0.12568374057556012,0.05093962005527452,399.87601743390496,9.080107880353932,1,0,0
128.1009515493156,0.12810095154931558,0.05191931566293761,407.5666279540602,8.907896931886672,1,0,0
130.56465150298925,0.13056465150298924,0.05291785325416155,415.4051480451681,8.738935768842701,1,0,0
133.07573453530756,0.13307573453530755,0.05393559520716015,423.3944223762072,8.57316307330132,1,0,0
135.6351119407401,0.1356351119407401,0.05497291086958196,431.5373503262184,8.410518684864048,1,0,0
138.24371254021543,0.13824371254021542,0.05603017669254931,439.8368870365121,8.250943578481674,1,0,0
140.90248301819963,0.14090248301819963,0.05710777636727631,448.29604448311903,8.09437984251976,1,0,0
143.61238826625535,0.14361238826625536,0.05820610096431329,456.91789256985936,7.94077065849304,1,0,0
146.37441173321085,0.14637441173321084,0.05932554907547036,465.7055602424423,7.790060280084608,1,0,0
149.18955578206103,0.14918955578206103,0.06046652695846934,474.6622366239843,7.642194013357162,1,0,0
152.05884205373528,0.15205884205373527,0.061629448684378904,483.7911721723744,7.49711819577217,1,0,0
154.98331183785874,0.15498331183785874,0.06281473628788414,493.09567985989054,7.354780178070068,1,0,0
157.964026450647,0.157964026450647,0.06402281992044723,502.57913637551076,7.215128304243086,1,0,0
161.0020676200658,0.16100206762006578,0.06525413800641267,512.2449833503395,7.0781118931770335,1,0,0
164.09853787840117,0.16409853787840117,0.06650913740211599,522.0967286066106,6.943681220531466,1,0,0
167.25456096237704,0.16725456096237704,0.06778827355805142,532.1379474307037,6.811787499666215,1,0,0
170.47128222097035,0.17047128222097035,0.06909201068415928,542.3722838706503,6.682382865190506,1,0,0
173.74986903106745,0.17374986903106746,0.07042082191829165,552.8034520585894,6.5554203546047205,1,0,0
177.0915112211167,0.1770915112211167,0.07177518949791858,563.4352375586609,6.430853892087937,1,0,0
180.49742150292653,0.18049742150292652,0.07315560493513612,574.2714987408185,6.308638271212578,1,0,0
183.96883591177098,0.183968835911771,0.07456256919504077,585.31616818107,6.188729138374331,1,0,0
187.50701425495615,0.18750701425495614,0.07599659287753371,596.5732540886396,6.071082977294921,1,0,0
191.11324056901736,0.19111324056901735,0.07745819640262275,608.0468417605886,5.955657093167304,1,0,0
194.78882358570576,0.19478882358570576,0.07894791019928656,619.7410950643995,5.842409596323966,1,0,0
198.53509720694035,0.19853509720694035,0.08046627489797292,631.6602579490874,5.731299388170243,1,0,0
202.35342098889137,0.20235342098889136,0.08201384152679767,643.8086559853617,5.6222861455678945,1,0,0
206.245180635377,0.206245180635377,0.08359117171151831,656.1906979354187,5.515330306291581,1,0,0
210.211788500746,0.21021178850074598,0.08519883787935234,668.8108773529159,5.410393054723739,1,0,0
214.25468410243533,0.21425468410243534,0.08683742346671704,681.6737742137287,5.3074363081455225,1,0,0
218.3753346433823,0.2183753346433823,0.08850752313096284,694.7840565780583,5.206422702312469,1,0,0
222.57523554448724,0.22257523554448724,0.09020974296618069,708.1464822845184,5.107315577983858,1,0,0
226.85591098731348,0.22685591098731347,0.09194470072315815,721.7659006767915,5.010078968048095,1,0,0
231.21891446722813,0.23121891446722814,0.09371302603356756,735.6472543635053,4.914677584171296,1,0,0
235.66582935717764,0.23566582935717764,0.0955153606384641,749.7955810119431,4.821076804041862,1,0,0
240.1982694823099,0.2401982694823099,0.0973523586211802,764.2160151762646,4.729242658615114,1,0,0
244.8178797056439,0.2448178797056439,0.09922468664469747,778.9137901608751,4.63914182007313,1,0,0
249.52633652500703,0.24952633652500703,0.10113302419358536,793.8942399196451,4.550741589784623,1,0,0
254.32534868144927,0.2543253486814493,0.10307806382059138,809.1628009916424,4.464009885907174,1,0,0
259.2166577793626,0.2592166577793626,0.10506051139797566,824.7250144741089,4.378915232539178,1,0,0
264.20203891852276,0.2642020389185228,0.10708108637367728,840.5865280333666,4.295426747441292,1,0,0
269.2833013382907,0.2692833013382907,0.10914052203240922,856.7530979544124,4.213514131426811,1,0,0
274.4622890741999,0.2744622890741999,0.11123956576177321,873.2305912299197,4.133147657394408,1,0,0
279.7408816271752,0.2797408816271752,0.11337897932349411,890.0249876894288,4.05429815900326,1,0,0
285.1209946456187,0.2851209946456187,0.11555953912986926,907.1423821694736,3.976937020540237,1,0,0
290.60458062061724,0.2906045806206172,0.11778203652553616,924.5889867254589,3.901036166548729,1,0,0
