population,watts_per_person,total_heat_W,surface_temperature_K,required_radius_m,required_diameter_m,surface_area_m2
1000000000,20000.0,20000000000000.0,273.15,71007.10193120479,142014.20386240957,63359747761.74277
1000000000,20000.0,20000000000000.0,283.15,66080.15691310003,132160.31382620006,54872152291.72836
1000000000,20000.0,20000000000000.0,293.15,61648.76778242461,123297.53556484923,47759378317.22742
1000000000,20000.0,20000000000000.0,303.15,57648.63816004547,115297.27632009094,41762642330.109146
