R_m,R_km,t_m,mu_wall,qppp_max,ok_thermal,ok_shielding,ok_both
100.0,0.1,0.03671195652173913,99.12228260869564,11.458309120655063,1,0,0
101.92324875332801,0.101923248753328,0.0374180187678658,101.02865067323766,11.24186042714119,1,0,0
103.88348636432791,0.10388348636432791,0.03813766034733886,102.97168293781493,11.029496042728422,1,0,0
105.88142422074351,0.10588142422074351,0.03887114242451752,104.95208454619731,10.821138898849487,1,0,0
107.91778739207501,0.10791778739207501,0.039618731186601454,106.97057420382393,10.616713380575177,1,0,0
109.99331489271226,0.10999331489271226,0.040380697940232135,109.02788443862677,10.416145300149914,1,0,0
112.10875995013063,0.11210875995013063,0.04115731920995285,111.1247618668727,10.219361869573593,1,0,0
114.264890278243,0.114264890278243,0.041948876838561494,113.26196746411604,10.026291674613953,1,0,0
116.46248835601105,0.11646248835601106,0.04275565808939428,115.44027684136455,9.8368646478653,1,0,0
118.70235171141282,0.11870235171141282,0.043577955750575735,117.66048052655448,9.651012045145038,1,0,0
120.9852932108737,0.1209852932108737,0.04441606824127456,119.9233842514413,9.468666418552399,1,0,0
123.31214135426208,0.12331214135426208,0.0452702997200022,122.22980924400593,9.28976159334183,1,0,0
125.68374057556012,0.12568374057556012,0.046140960194995036,124.5805925264866,9.114232643127444,1,0,0
128.1009515493156,0.12810095154931558,0.047028365636718854,126.97658721914091,8.942015867233277,1,0,0
130.56465150298925,0.13056465150298924,0.04793283809253763,129.4186628498516,8.773048766374586,1,0,0
133.07573453530756,0.13307573453530755,0.0488547058035871,131.90770566968516,8.607270020961762,1,0,0
135.6351119407401,0.1356351119407401,0.049794303323896706,134.44461897452112,8.444619468450547,1,0,0
138.24371254021543,0.13824371254021542,0.05075197164180191,137.03032343286515,8.285038081407546,1,0,0
140.90248301819963,0.14090248301819963,0.05172805830369231,139.66575741996922,8.128467946529387,1,0,0
143.61238826625535,0.14361238826625536,0.05272291754013885,142.3518773583749,7.974852242946624,1,0,0
146.37441173321085,0.14637441173321084,0.053736910394447786,145.08965806500902,7.824135222196579,1,0,0
149.18955578206103,0.14918955578206103,0.054770404853686,147.8800931049522,7.676262187480925,1,0,0
152.05884205373528,0.15205884205373527,0.05582377598222727,150.72419515201364,7.5311794747114185,1,0,0
154.98331183785874,0.15498331183785874,0.05689740605786608,153.62299635623842,7.388834431886673,1,0,0
157.964026450647,0.157964026450647,0.05799168471055003,156.57754871848508,7.249175400733948,1,0,0
161.0020676200658,0.16100206762006578,0.05910700906377959,159.5889244722049,7.11215169787407,1,0,0
164.09853787840117,0.16409853787840117,0.06024378387872825,162.65821647256627,6.977713595867157,1,0,0
167.25456096237704,0.16725456096237704,0.06140242170113353,165.78653859306053,6.8458123062849054,1,0,0
170.47128222097035,0.17047128222097035,0.06258334301101384,168.9750261297374,6.716399960756304,1,0,0
173.74986903106745,0.17374986903106746,0.06378697637526418,172.22483621321328,6.589429594397545,1,0,0
177.0915112211167,0.1770915112211167,0.06501375860318713,175.53714822860525,6.464855128526688,1,0,0
180.49742150292653,0.18049742150292652,0.06626413490501461,178.91316424353943,6.34263135397434,1,0,0
183.96883591177098,0.183968835911771,0.06753855905347897,182.35410944439323,6.2227139146327985,1,0,0
187.50701425495615,0.18750701425495614,0.06883749354849068,185.86123258092485,6.105059291481972,1,0,0
191.11324056901736,0.19111324056901735,0.07016140978498436,189.43580641945778,5.989624786376954,1,0,0
194.78882358570576,0.19478882358570576,0.07151078822399144,193.0791282047769,5.876368507385253,1,0,0
198.53509720694035,0.19853509720694035,0.07288611856700446,196.79252013091204,5.76524935245514,1,0,0
202.35342098889137,0.20235342098889136,0.07428789993369354,200.57732982097258,5.656226995706559,1,0,0
206.245180635377,0.206245180635377,0.07571664104304195,204.43493081621327,5.549261871933936,1,0,0
210.211788500746,0.21021178850074598,0.07717286039796409,208.36672307450303,5.444315162420272,1,0,0
214.25468410243533,0.21425468410243534,0.07865708647347558,212.37413347838407,5.341348781108856,1,0,0
218.3753346433823,0.2183753346433823,0.08016985790848084,216.45861635289828,5.240325360536575,1,0,0
222.57523554448724,0.22257523554448724,0.08171172370125061,220.62165399337667,5.1412082384824735,1,0,0
226.85591098731348,0.22685591098731347,0.08328324340865774,224.8647572033759,5.043961444377898,1,0,0
231.21891446722813,0.23121891446722814,0.08488498734924597,229.18946584296413,4.948549686551095,1,0,0
235.66582935717764,0.23566582935717764,0.08651753681020298,233.59734938754804,4.85493833911419,1,0,0
240.1982694823099,0.2401982694823099,0.0881814842583154,238.09000749745158,4.763093429803849,1,0,0
244.8178797056439,0.2448178797056439,0.0898774335549796,242.6690705984449,4.672981627106665,1,0,0
249.52633652500703,0.24952633652500703,0.09160600017534905,247.33620047344243,4.584570228695869,1,0,0
254.32534868144927,0.2543253486814493,0.0933678114316951,252.09309086557678,4.497827149391174,1,0,0
259.2166577793626,0.2592166577793626,0.09516350670106492,256.9414680928753,4.412720909237862,1,0,0
264.20203891852276,0.2642020389185228,0.09699373765731636,261.8830916747542,4.32922062242031,1,0,0
269.2833013382907,0.2692833013382907,0.09885916850761704,266.91975497056603,4.247295985937118,1,0,0
274.4622890741999,0.2744622890741999,0.10076047623349023,272.0532858304236,4.166917268514634,1,0,0
279.7408816271752,0.2797408816271752,0.10269835083649828,277.28554725854536,4.088055300235749,1,0,0
285.1209946456187,0.2851209946456187,0.10467349558864969,282.6184380893542,4.01068146109581,1,0,0
290.60458062061724,0.2906045806206172,0.10668662728762333,288.053893676583,3.934767671585083,1,0,0
